id,tags,tags_transl,user,userId,title,description,type,page,bookmark,bookmarked,likeCount,viewCount,commentCount,width,height,xRestrict,AI,date,original,thumb,fileName
138763648,"褐色肌,女装,男の娘,触手服,寄生,触手,強制装備","褐色皮肤,女装,伪娘,触手服,寄生,触手,強制装備",シュウ·ステラ,25542854,クリスマス触手服,"Shu's Christmas outfit
Red and white are Christmas colors, right?

↓Joing our Discord↓
https://discord.gg/rYgXGXgc6E
↓QQ粉丝群↓
996825784",Illustration,6,860,No,519,5540,2,2194,3943,AllAges,No,2025-12-18T16:42:00+00:00,https://i.pximg.net/img-original/img/2025/12/20/00/39/36/138763648_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/12/20/00/39/36/138763648_p0_square1200.jpg,シュウ·ステラ25542854/138763648クリスマス触手服/クリスマス触手服#138763648_p000.png
138595296,"SCP,MAL0,メスケモ,ケモノ,バニーガール,SCP_Foundation","SCP,MAL0,女性兽人,野兽,兔女郎,SCP_Foundation",シュウ·ステラ,25542854,"SCP-1471, Mal0","↓Joing our Discord↓
https://discord.gg/rYgXGXgc6E
↓QQ粉丝群↓
996825784",Illustration,1,288,No,151,1493,1,2594,4093,AllAges,No,2025-12-14T08:22:00+00:00,https://i.pximg.net/img-original/img/2025/12/14/17/22/36/138595296_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/12/14/17/22/36/138595296_p0_square1200.jpg,"シュウ·ステラ25542854/SCP-1471, Mal0#138595296_p000.png"
138264279,"褐色肌,メイド,メイド服,原創","褐色皮肤,女仆,女仆装,原創",シュウ·ステラ,25542854,Mehit,"New OC design
""Mehit""

↓Joing our Discord↓
https://discord.gg/rYgXGXgc6E
↓QQ粉丝群↓
996825784",Illustration,1,281,No,151,1863,4,2194,3958,AllAges,No,2025-12-05T13:56:00+00:00,https://i.pximg.net/img-original/img/2025/12/05/22/56/53/138264279_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/12/05/22/56/53/138264279_p0_square1200.jpg,シュウ·ステラ25542854/Mehit#138264279_p000.png
137862567,"オリジナル,長手袋,メスケモ,ラバー,ボンデージ,女王様,獣人","原创,长手套,女性兽人,橡胶,绑缚,女王,兽人",シュウ·ステラ,25542854,"Hellhound Shu","↓Joing our Discord↓
https://discord.gg/rYgXGXgc6E
↓QQ粉丝群↓
996825784",Illustration,1,462,No,261,2514,3,2519,4093,AllAges,No,2025-11-24T16:27:00+00:00,https://i.pximg.net/img-original/img/2025/11/25/01/27/25/137862567_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/11/25/01/27/25/137862567_p0_square1200.jpg,"シュウ·ステラ25542854/Hellhound Shu#137862567_p000.png"
137321458,"褐色肌,女装,触手服,バブルヘッドナース,サイレントヒル,ナース,うちの子","褐色皮肤,女装,触手服,Bubble Head Nurse,寂静岭,护士,我家孩子",シュウ·ステラ,25542854,"触手服 バブルヘッドナース","I came too late for Halloween.

↓Joing our Discord↓
https://discord.gg/rYgXGXgc6E
↓QQ粉丝群↓
996825784",Illustration,3,444,No,282,5051,3,2344,4293,AllAges,No,2025-11-10T11:25:00+00:00,https://i.pximg.net/img-original/img/2025/11/10/20/25/14/137321458_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/11/10/20/25/14/137321458_p0_square1200.jpg,"シュウ·ステラ25542854/137321458触手服 バブルヘッドナース/触手服 バブルヘッドナース#137321458_p000.png"
136702945,"R-18,オリジナル,褐色肌,男の娘,拘束,寄生,悪堕ち,latex,乗っ取り,粘液拘束","R-18,原创,褐色皮肤,伪娘,束缚,寄生,黑化,latex,夺取,粘液拘束",シュウ·ステラ,25542854,"Goo latex possession","I don't know what I'm drawing, just for fun.
But Happy Halloween.

↓Joing our Discord↓
https://discord.gg/rYgXGXgc6E
↓QQ粉丝群↓
996825784",Illustration,7,857,No,476,7976,1,2594,4193,R-18,No,2025-10-25T17:40:00+00:00,https://i.pximg.net/img-original/img/2025/10/26/02/40/47/136702945_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/10/26/02/40/47/136702945_p0_square1200.jpg,"シュウ·ステラ25542854/136702945Goo latex possession/Goo latex possession#136702945_p000.png"
136316542,"クルル・ツェペシ,男の娘,女装,衣装チェンジ,Cosplay,褐色肌,獣耳,ロングブーツ","克鲁鲁·采佩西,伪娘,女装,交换服装,Cosplay,褐色皮肤,兽耳,high boots",シュウ·ステラ,25542854,"クルル・ツェペシ Cosplay","Krul Tepes costume Shu.
Actually, this was supposed to be finished for last Halloween, but I forgot about it.
So I redrew it this year.

↓Joing our Discord↓
https://discord.gg/rYgXGXgc6E
↓QQ粉丝群↓
996825784",Illustration,1,590,No,318,4467,2,2694,4093,AllAges,No,2025-10-15T13:30:00+00:00,https://i.pximg.net/img-original/img/2025/10/15/22/30/36/136316542_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/10/15/22/30/36/136316542_p0_square1200.jpg,"シュウ·ステラ25542854/クルル・ツェペシ Cosplay#136316542_p000.png"
136161488,"男の娘,女装,長手袋,獣耳,立ち絵,ふともも,オリキャラ,褐色肌,うちの子","伪娘,女装,长手套,兽耳,立绘,大腿,原创角色,褐色皮肤,我家孩子",シュウ·ステラ,25542854,Shu,"I've finally redesigned Shu.
This is probably the third time I've drawn his default appearance.

↓Joing our Discord↓
https://discord.gg/rYgXGXgc6E
↓QQ粉丝群↓
996825784",Illustration,1,346,No,182,3112,0,2244,4193,AllAges,No,2025-10-11T17:09:00+00:00,https://i.pximg.net/img-original/img/2025/10/12/02/09/56/136161488_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/10/12/02/09/56/136161488_p0_square1200.jpg,シュウ·ステラ25542854/Shu#136161488_p000.png
135572671,"エジプト,褐色肌,オリジナル,獣耳,ラバー,長手袋","egypt,褐色皮肤,原创,兽耳,橡胶,长手套",シュウ·ステラ,25542854,テフヌト,"Redesign of the old OC.

↓Joing our Discord↓
https://discord.gg/rYgXGXgc6E
↓QQ粉丝群↓
996825784",Illustration,2,367,No,194,3646,4,2444,4093,AllAges,No,2025-09-26T15:29:00+00:00,https://i.pximg.net/img-original/img/2025/09/27/00/29/23/135572671_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/09/27/00/29/23/135572671_p0_square1200.jpg,シュウ·ステラ25542854/135572671テフヌト/テフヌト#135572671_p000.png
135179672,"銃,ケモノ,メスケモ,loona,Helluvaboss","枪,野兽,女性兽人,loona,Helluvaboss",シュウ·ステラ,25542854,Loona,"按我自己来画的。

↓Joing our Discord↓
https://discord.gg/rYgXGXgc6E
↓QQ粉丝群↓
996825784",Illustration,1,533,No,289,3134,3,2644,4093,AllAges,No,2025-09-16T12:00:00+00:00,https://i.pximg.net/img-original/img/2025/09/16/21/00/48/135179672_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/09/16/21/00/48/135179672_p0_square1200.jpg,シュウ·ステラ25542854/Loona#135179672_p000.png
